,_id,banderaDescripcion,banderaId,comercioId,comercioRazonSocial,direccion,id,lat,lng,localidad,provincia,sucursalId,sucursalNombre,sucursalTipo,geometry
121,5cbc698b7af152186c0cd1b8,Disco,2,9,Jumbo Retail Argentina S.A.,Avenida Las Heras Gral Juan Gregorio De 3925,9-2-14,-34.5608,-58.4499,belgrano,AR-C,14,Las Heras..,Supermercado,POINT (-58.4499 -34.5608)
122,5cbc698b7af152186c0cd1b9,Supermercados DIA,1,15,DIA Argentina S.A,Cl Triunvirato 3981,15-1-65,-34.5795557,-58.4770438,villa ortuzar,AR-C,65,65 - Villa Ortuzar,Autoservicio,POINT (-58.4770438 -34.5795557)
123,5cbc698b7af152186c0cd1ba,Express,3,10,INC S.A.,Tres De Febrero 1857,10-3-721,-34.561609,-58.449967,belgrano,AR-C,721,Tres de Febrero 1857,Autoservicio,POINT (-58.449967 -34.561609)
124,5cbc698b7af152186c0cd1bb,Express,3,10,INC S.A.,Av. San Martín 5930,10-3-586,-34.59579,-58.500059,villa devoto,AR-C,586,San Martín 5930,Autoservicio,POINT (-58.500059 -34.59579)
125,5cbc698b7af152186c0cd1bc,Axion Energy,1,23,Pan American Energy LLC Argentina,Beiró 5501 5501,23-1-6228,-34.6159,-58.5301,villa real,AR-C,6228,Amanecer,Autoservicio,POINT (-58.5301 -34.6159)
126,5cbc698b7af152186c0cd1bd,Express,3,10,INC S.A.,Moldes 1718,10-3-361,-34.567226,-58.456531,belgrano,AR-C,361,Moldes 1718,Autoservicio,POINT (-58.456531 -34.567226)
127,5cbc698b7af152186c0cd1be,Express,3,10,INC S.A.,Castañeda 1836,10-3-716,-34.553982,-58.436642,belgrano,AR-C,716,Castañeda 1836,Autoservicio,POINT (-58.436642 -34.553982)
128,5cbc698b7af152186c0cd1bf,Supermercados DIA,1,15,DIA Argentina S.A,Cl Jose Hernandez 2469,15-1-197,-34.5660554,-58.4541372,belgrano,AR-C,197,197 - Belgrano,Autoservicio,POINT (-58.4541372 -34.5660554)
129,5cbc698b7af152186c0cd1c0,Disco,2,9,Jumbo Retail Argentina S.A.,Cuba 1714,9-2-977,-34.5646,-58.4517,belgrano,AR-C,977,SM 977 Cuba.,Supermercado,POINT (-58.4517 -34.5646)
130,5cbc698b7af152186c0cd1c1,DEHEZA S.A.I.C.F. e I.,1,3,Deheza S.A.I.C.F. e I.,Cramer 1691,3-1-599,-34.56902,-58.457493,belgrano,AR-C,599,VIRREY DEL PINO,Autoservicio,POINT (-58.457493 -34.56902)
